Ratings,Number of Reviews,Prices,links
4.5 of 5 bubbles,"2,840 reviews","EGP 6,178",https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,"1,616 reviews","EGP 4,055",https://www.tripadvisor.in/Hotel_Review-g294201-d10356829-Reviews-Steigenberger_Hotel_El_Tahrir-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,"4,188 reviews","EGP 6,277",https://www.tripadvisor.in/Hotel_Review-g294201-d1597516-Reviews-Kempinski_Nile_Hotel_Garden_City_Cairo-Cairo_Cairo_Governorate.html
5 of 5 bubbles,925 reviews,"EGP 1,867",https://www.tripadvisor.in/Hotel_Review-g294201-d2389917-Reviews-Al_Masa_Hotel_Nasr_City-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,"3,820 reviews","EGP 4,486",https://www.tripadvisor.in/Hotel_Review-g294201-d299719-Reviews-Cairo_Marriott_Hotel_Omar_Khayyam_Casino-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,"3,216 reviews","EGP 3,386EGP 2,866",https://www.tripadvisor.in/Hotel_Review-g294201-d301746-Reviews-Le_Passage_Cairo_Hotel_Casino-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,233 reviews,"EGP 4,966",https://www.tripadvisor.in/Hotel_Review-g294201-d1150283-Reviews-Staybridge_Suites_Cairo_Citystars_an_IHG_Hotel-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,"1,608 reviews","EGP 2,875",https://www.tripadvisor.in/Hotel_Review-g294201-d302323-Reviews-Sonesta_Hotel_Tower_Casino_Cairo-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,"3,916 reviews","EGP 5,924",https://www.tripadvisor.in/Hotel_Review-g294201-d304481-Reviews-Sofitel_Cairo_Nile_El_Gezirah-Cairo_Cairo_Governorate.html
4 of 5 bubbles,"2,100 reviews","EGP 3,339EGP 3,132",https://www.tripadvisor.in/Hotel_Review-g294201-d1229187-Reviews-Radisson_Blu_Hotel_Cairo_Heliopolis-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,"3,533 reviews","EGP 7,266",https://www.tripadvisor.in/Hotel_Review-g294201-d1146358-Reviews-Dusit_Thani_LakeView_Cairo-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,"2,041 reviews","EGP 6,373",https://www.tripadvisor.in/Hotel_Review-g294201-d8489537-Reviews-Royal_Maxim_Palace_Kempinski_Cairo-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,"5,389 reviews","EGP 4,838",https://www.tripadvisor.in/Hotel_Review-g294201-d580690-Reviews-Fairmont_Nile_City-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,"1,580 reviews","EGP 4,024",https://www.tripadvisor.in/Hotel_Review-g294201-d5040629-Reviews-Le_Meridien_Cairo_Airport-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,"5,389 reviews","EGP 5,889EGP 4,838",https://www.tripadvisor.in/Hotel_Review-g294201-d580690-Reviews-Fairmont_Nile_City-Cairo_Cairo_Governorate.html
4 of 5 bubbles,"1,737 reviews","EGP 4,788EGP 4,702",https://www.tripadvisor.in/Hotel_Review-g294201-d1157029-Reviews-Hilton_Cairo_Heliopolis-Cairo_Cairo_Governorate.html
3.5 of 5 bubbles,937 reviews,"EGP 5,298EGP 4,085",https://www.tripadvisor.in/Hotel_Review-g294201-d308091-Reviews-Grand_Nile_Tower-Cairo_Cairo_Governorate.html
4 of 5 bubbles,"4,171 reviews","EGP 4,451",https://www.tripadvisor.in/Hotel_Review-g294201-d300669-Reviews-Ramses_Hilton-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,"2,548 reviews","EGP 6,470",https://www.tripadvisor.in/Hotel_Review-g294201-d536381-Reviews-InterContinental_Citystars_Cairo_an_IHG_Hotel-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,576 reviews,EGP 499EGP 313,https://www.tripadvisor.in/Hotel_Review-g294201-d629999-Reviews-Dahab_Hostel-Cairo_Cairo_Governorate.html
4 of 5 bubbles,"2,221 reviews","EGP 2,373EGP 2,316",https://www.tripadvisor.in/Hotel_Review-g294201-d299611-Reviews-Novotel_Cairo_Airport-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,"1,749 reviews","EGP 8,432",https://www.tripadvisor.in/Hotel_Review-g294201-d299728-Reviews-JW_Marriott_Hotel_Cairo-Cairo_Cairo_Governorate.html
4 of 5 bubbles,"1,433 reviews","EGP 5,062",https://www.tripadvisor.in/Hotel_Review-g294201-d1200790-Reviews-Novotel_Cairo_El_Borg-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,113 reviews,"EGP 4,856",https://www.tripadvisor.in/Hotel_Review-g294201-d13540550-Reviews-The_St_Regis_Almasa_Hotel_Cairo-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,"2,840 reviews","EGP 5,807",https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html
4 of 5 bubbles,724 reviews,"EGP 3,198",https://www.tripadvisor.in/Hotel_Review-g294201-d301243-Reviews-Concorde_El_Salam_Hotel_Cairo_by_Royal_Tulip-Cairo_Cairo_Governorate.html
4 of 5 bubbles,377 reviews,EGP 845,https://www.tripadvisor.in/Hotel_Review-g294201-d2708329-Reviews-New_Grand_Royal_Hotel_Cairo-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,502 reviews,EGP 959,https://www.tripadvisor.in/Hotel_Review-g294201-d614748-Reviews-Osiris_Hotel-Cairo_Cairo_Governorate.html
4 of 5 bubbles,831 reviews,"EGP 2,415",https://www.tripadvisor.in/Hotel_Review-g294201-d481920-Reviews-Baron_Hotel_Cairo-Cairo_Cairo_Governorate.html
4.5 of 5 bubbles,"1,090 reviews","EGP 3,912",https://www.tripadvisor.in/Hotel_Review-g294201-d817571-Reviews-Holiday_Inn_Cairo_Citystars_an_IHG_Hotel-Cairo_Cairo_Governorate.html
4 of 5 bubbles,4 reviews,EGP 241,https://www.tripadvisor.in/Hotel_Review-g294201-d15518244-Reviews-Oasis_Hotel-Cairo_Cairo_Governorate.html
4 of 5 bubbles,78 reviews,"EGP 1,353EGP 1,269",https://www.tripadvisor.in/Hotel_Review-g294201-d12062145-Reviews-Paradise_Boutique_Hotel-Cairo_Cairo_Governorate.html
4 of 5 bubbles,408 reviews,"EGP 1,266EGP 1,128",https://www.tripadvisor.in/Hotel_Review-g294201-d1194224-Reviews-City_View_Hotel-Cairo_Cairo_Governorate.html
3.5 of 5 bubbles,457 reviews,"EGP 2,880EGP 2,026",https://www.tripadvisor.in/Hotel_Review-g294201-d301551-Reviews-Golden_Tulip_Flamenco_Hotel_Flamenco_Cairo-Cairo_Cairo_Governorate.html
3.5 of 5 bubbles,98 reviews,"EGP 2,872",https://www.tripadvisor.in/Hotel_Review-g294201-d12901747-Reviews-Tolip_Golden_Plaza_Hotel-Cairo_Cairo_Governorate.html
