name,ratings,prices,aminities,location,description
Fairmont Nile City,4.5,"EGP 6,270",",Valet parking,Free High Speed Internet (WiFi),Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Casino and Gambling,Aerobics,Kids stay free,Paid private parking on-site,Wifi,Paid wifi,Hot bath,Pool / beach towels,Rooftop pool,Pool with view,Adult pool,Outdoor pool,Shallow end in pool,Yoga classes,Yoga room,Fitness / spa changing rooms,Fitness classes,Personal trainer,Sauna,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary Instant Coffee,Complimentary tea,Complimentary welcome drink,Happy hour,Kid-friendly buffet,Kids' meals,Outdoor dining area,Snack bar,Special diet menus,Wine / champagne,Poolside bar,Rooftop bar,Entertainment staff,Evening entertainment,Nightclub / DJ,Babysitting,Children's television networks,Kids pool,Highchairs available,Free airport transportation,Airport transportation,Shuttle bus service,Car hire,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business centre,Spa,Body wrap,Couples massage,Facial treatments,Foot bath,Foot massage,Full body massage,Hammam,Hand massage,Head massage,Makeup services,Manicure,Massage,Massage chair,Neck massage,Pedicure,Salon,Steam room,Waxing services,Rooftop terrace,24-hour security,Baggage storage,Concierge,Currency exchange,Executive lounge access,Gift shop,Newspaper,Outdoor furniture,Shared bathroom,Shared lounge / TV area,Shops,Sun deck,Sun loungers / beach chairs,Sun terrace,Sun umbrellas,ATM on site,Butler service,Doorperson,First aid kit,Infirmary,Umbrella,24-hour check-in,24-hour front desk,Express check-in / check-out,Private check-in / check-out,Clothes dryer,Dry cleaning,Laundry service,Ironing service,Shoeshine,Allergy-free room,Blackout curtains,Air conditioning,Additional bathroom,Desk,Coffee / tea maker,Cable / satellite TV,Bidet,Air purifier,Bathrobes,Dining area,Housekeeping,Interconnected rooms available,Private balcony,Room service,Safe,Seating area,Separate dining area,Separate living room,Sofa,Telephone,VIP room facilities,Wardrobe / wardrobe,Bottled water,Iron,Laptop safe,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Kitchenette,Minibar,Refrigerator,Electric kettle,Flatscreen TV,On-demand films,Radio,iPod docking station,Walk-in shower,Whirlpool bathtub,Bath / shower,Complimentary toiletries,Hair dryer,City view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Nile City Towers - 2005 B, Corniche El Nil Ramlet Beaulac, Cairo 2466 Egypt","A melting pot of history and diversity, the city of Cairo is ideal for both business and leisure. Like the city itself, Fairmont Nile City offers a delightful series of contrasts, combining advanced technology and modern design with local flavors and flair. With sweeping panoramas of the river Nile and the Pyramids in the distance, Cairo’s beauty and history are always in sight from your luxury accommodation. During your stay, embark on culinary adventures at the city’s finest restaurants, enjoy the fresh air at our rooftop poolside restaurant and pamper yourself at Willow Stream Spa. Part of the prestigious Nile City complex, this luxury hotel is the perfect location for business events. The space consists of 845 square meters (9,100 square feet) plus 450 square meters (4,800 square feet) of outdoor space dedicated to meetings and conventions, comprising of 10 meeting rooms including a ballroom. The space also offers spectacular river Nile views."
"Al Masa Hotel, Nasr City",5.0,"EGP 1,938",",Free parking,Free High Speed Internet (WiFi),Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Tennis court,Kids stay free,Babysitting,Wifi,Hot bath,Outdoor pool,Fitness / spa changing rooms,Sauna,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Children Activities (Kid / Family Friendly),Kids club,Airport transportation,Car hire,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Massage,Salon,Steam room,24-hour security,Baggage storage,Concierge,Currency exchange,Non-smoking hotel,ATM on site,Doorperson,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Air conditioning,Room service,Safe,VIP room facilities,Minibar,Refrigerator,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Dr Abd Al Aziz Al Shennawy St, Cairo 11511 Egypt","You are invited to escape the noise and the pollution and to enjoy the peaceful atmosphere on Al Masa spectacular heights. While sitting under a pergola surrounded by the stunning nature enjoy beverage of choice that are served to match the moment. It is the spot for a quiet, contemplative moment where you can enjoy the tranquility of the environment. In a one-of-a-kind experience, imagine your self-hiking along one of the most beautiful ridge walks in the green foothills. Al Masa Hotel features a terrace with a swimming pool. In the green area of Nasr City, it includes 5 restaurants and a spa center. All the elegant rooms have a balcony. Al Masa Hotel has a selection of activities, including different types of massages, Billiards, cinema and bowling. Cairo International Airport is a 10-minute drive and Cairo International Conference Centre is just a 5-minute drive away. The center of Cairo and the Egyptian Museum are both 20 minutes away by car."
Le Passage Cairo Hotel & Casino,4.5,"EGP 2,872",",Valet parking,Free internet,Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Casino and Gambling,Water park,Kids stay free,Public wifi,Hot bath,Infinity pool,Adult pool,Outdoor pool,Heated pool,Fitness / spa changing rooms,Fitness classes,Coffee shop,Restaurant,Breakfast buffet,Breakfast in the room,Kid-friendly buffet,Kids' meals,Special diet menus,Swimup bar,Poolside bar,Nightclub / DJ,Children Activities (Kid / Family Friendly),Kids club,Free airport transportation,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Car hire,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Massage,Salon,Steam room,24-hour security,Baggage storage,Concierge,Currency exchange,Gift shop,Shops,ATM on site,Butler service,Doorperson,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Self-serve laundry,Ironing service,Shoeshine,Allergy-free room,Blackout curtains,Air conditioning,Interconnected rooms available,Room service,Safe,Minibar,Flatscreen TV,VIP room facilities,Wake-up service / alarm clock,Refrigerator,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Cairo International Airport Road El Horreya-Heliopolis, Cairo 11511 Egypt","Le Passage Cairo Hotel & Casino is located in Heliopolis, an elegant business and residential district in Cairo and it is considered one of the safest area in town. The hotel is only five minutes from Cairo International Airport and ten minutes from the Cairo International Convention Centre and Fair Grounds, with free shuttle bus service, free wifi and free internet. Great design is the key to this urban, cosmopolitan business and leisure base, providing a sophisticated and stylish environment in the throbbing heart of Egypt and the Middle East. Le Passage Cairo Hotel & Casino celebrates individuality with a wide range of accommodation choices from well appointed rooms and suites with exquisite views to the Executive Club floor which is ideal for business travelers, short breaks, family holidays or those special occasions."
Sofitel Cairo Nile El Gezirah,4.5,"EGP 7,994",",Valet parking,Free internet,Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Casino and Gambling,Entertainment staff,Kids stay free,Paid private parking on-site,Wifi,Hot bath,Pool / beach towels,Infinity pool,Pool with view,Outdoor pool,Heated pool,Yoga classes,Fitness / spa changing rooms,Fitness classes,Sauna,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary welcome drink,Happy hour,Kid-friendly buffet,Kids' meals,Outdoor dining area,Snack bar,Special diet menus,Wine / champagne,Swimup bar,Poolside bar,Evening entertainment,Patio,Nightclub / DJ,Babysitting,Kids pool,Airport transportation,Car hire,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business centre,Spa,Body wrap,Couples massage,Facial treatments,Foot massage,Full body massage,Hammam,Head massage,Makeup services,Manicure,Massage,Neck massage,Pedicure,Salon,Steam room,24-hour security,Baggage storage,Concierge,Currency exchange,Executive lounge access,Gift shop,Newspaper,Outdoor furniture,Shops,Sun deck,Sun loungers / beach chairs,Sun umbrellas,ATM on site,Butler service,Doorperson,Umbrella,24-hour check-in,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Shoeshine,Blackout curtains,Bathrobes,Air conditioning,Additional bathroom,Desk,Minibar,Cable / satellite TV,Bath / shower,Housekeeping,Interconnected rooms available,Private balcony,Room service,Seating area,Telephone,Wardrobe / wardrobe,Bottled water,Clothes rack,Iron,Private bathrooms,Wake-up service / alarm clock,Refrigerator,Electric kettle,Flatscreen TV,Hair dryer,City view,Landmark view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","3 El Thawra Council St Zamalek, Cairo Egypt","On the southern tip of Gezirah Island, the hotel is a corner of paradise in central Cairo, minutes from Cairo’s business districts. Discover a haven of peace during a vacation in Egypt, and a comfortable base to rest after a successful day of business. Relax by the pool, pamper yourself in Sofitel SPA, wine and dine in our international restaurants and bars. Surrender to luxury and come for a day, a weekend, a week…or more. A stroll along the hotel’s lush riverside promenade takes you to a host of acclaimed restaurants and bars. You can take your time, enjoying the cool shade of exotic palms and breathing in the scent of hibiscus. You’ll hear the gentle sound of water lapping as you rest on a Nile-side terrace with a cool drink, and dine on international cuisine. It’s especially beautiful at dusk, when the sun sets over Cairo’s skyline and vibrant nightlife. Escape the city for a day at our secluded Cairo hotel, which feels like an exclusive Egyptian resort set in lush gardens. Take advantage of Sofitel SPA and Sofitel FIT, float in an infinity pool overlooking the Nile, unwind in a bubbling whirlpool bath… whatever you desire. Day membership includes discounts to the restaurants and bars which line the Nile-side promenade, promising refreshment and fun for families, couples and friends."
"Radisson Blu Hotel, Cairo Heliopolis",4.0,"EGP 3,308",",Paid private parking on-site,Free High Speed Internet (WiFi),Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Walking tours,Highchairs available,Airport transportation,Secured parking,Wifi,Rooftop pool,Outdoor pool,Heated pool,Fitness / spa changing rooms,Personal trainer,Sauna,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary tea,Happy hour,Kids' meals,Poolside bar,Shuttle bus service,Car hire,Taxi service,Conference facilities,Banquet room,Meeting rooms,Spa,Body wrap,Facial treatments,Foot massage,Full body massage,Hammam,Hand massage,Head massage,Manicure,Massage,Neck massage,Pedicure,Steam room,Waxing services,Rooftop terrace,24-hour security,Baggage storage,Concierge,Currency exchange,Doorperson,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Blackout curtains,Air conditioning,Desk,Housekeeping,Interconnected rooms available,Coffee / tea maker,Cable / satellite TV,Bath / shower,Room service,Safe,Telephone,Wardrobe / wardrobe,Bottled water,Iron,Private bathrooms,Wake-up service / alarm clock,Electric kettle,Flatscreen TV,Complimentary toiletries,Hair dryer,City view,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Abdel Hamid Badawi Street Extension Heliopolis Area, Cairo 11511 Egypt","Superbly located in Heliopolis, The new Radisson Blu Hotel, Cairo Heliopolis is the hotel of choice for business travelers and tourists. Providing spacious, well appointed guest rooms. The hotel is the perfect oasis for guest visiting the city. Flexible meeting rooms and a day-lit ballroom make the hotel one of the area's premiere conference venues. After a hard day’s work, or following a visit to Cairo sights guests can relax and unwind in the Egyptian sun at the hotel’s rooftop pool and elegant spa area."
Dusit Thani LakeView Cairo,4.5,"EGP 8,719",",Valet parking,Free High Speed Internet (WiFi),Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Entertainment staff,Kids stay free,Babysitting,Wifi,Paid internet,Pool / beach towels,Adult pool,Outdoor pool,Heated pool,Plunge pool,Fitness / spa changing rooms,Fitness classes,Sauna,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary welcome drink,Kid-friendly buffet,Kids' meals,Outdoor dining area,Snack bar,Special diet menus,Wine / champagne,Swimup bar,Poolside bar,Children's playground,Children Activities (Kid / Family Friendly),Kids pool,Kids' outdoor play equipment,Highchairs available,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Car hire,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Body wrap,Couples massage,Facial treatments,Foot massage,Full body massage,Hammam,Head massage,Massage,Neck massage,Salon,Steam room,24-hour security,Baggage storage,Concierge,Currency exchange,Executive lounge access,Outdoor furniture,Sun deck,Sun loungers / beach chairs,Sun umbrellas,ATM on site,Butler service,Doorperson,First aid kit,24-hour check-in,24-hour front desk,Express check-in / check-out,Private check-in / check-out,Dry cleaning,Laundry service,Ironing service,Shoeshine,Allergy-free room,Blackout curtains,Air conditioning,Desk,Housekeeping,Minibar,Cable / satellite TV,Walk-in shower,Soundproof rooms,Bathrobes,Interconnected rooms available,Private balcony,Room service,Safe,Seating area,Telephone,VIP room facilities,Wardrobe / wardrobe,Bottled water,Iron,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Electric kettle,Flatscreen TV,Bath / shower,Complimentary toiletries,Hair dryer,Pool view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","El Tesseen Street City Centre, Fifth Settlement, New Cairo, Cairo 11511 Egypt","An oasis of greenery in the heart of New Cairo, Dusit Thani Lake View Cairo brings a taste of gracious Thai hospitality to the center of Egypt. Conveniently situated near Cairo International airport, the hotel enjoys pride of place in New Cairo’s Fifth Settlement in close proximity to the main roads that lead to major attractions, including the Pyramids, Sphinx, Citadel and Egyptian Museum. Guests are welcomed with elegant rooms and suites, three outdoor swimming pools, a fitness center, world-class spa and an array of fine dining options spanning a world of tastes and flavours."
"InterContinental Cairo Semiramis, an IHG Hotel",4.5,"EGP 7,566",",Valet parking,Free High Speed Internet (WiFi),Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Casino and Gambling,Kids stay free,Babysitting,Paid private parking on-site,Wifi,Hot bath,Pool / beach towels,Pool with view,Outdoor pool,Yoga classes,Fitness / spa changing rooms,Fitness classes,Personal trainer,Sauna,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Kid-friendly buffet,Kids' meals,Outdoor dining area,Wine / champagne,Poolside bar,Highchairs available,Airport transportation,Car hire,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business centre,Spa,Body wrap,Couples massage,Facial treatments,Foot bath,Foot massage,Full body massage,Hammam,Hand massage,Head massage,Light therapy,Manicure,Massage,Neck massage,Pedicure,Salon,Steam room,Rooftop terrace,24-hour security,Baggage storage,Concierge,Currency exchange,Shops,Sun terrace,Sun umbrellas,ATM on site,Butler service,Doorperson,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Blackout curtains,Bathrobes,Air conditioning,Desk,Housekeeping,Coffee / tea maker,Cable / satellite TV,Bidet,Interconnected rooms available,Private balcony,Room service,Safe,Telephone,VIP room facilities,Wardrobe / wardrobe,Bottled water,Iron,Laptop safe,Private bathrooms,Wake-up service / alarm clock,Minibar,Refrigerator,Electric kettle,Flatscreen TV,Radio,Bath / shower,Complimentary toiletries,Hair dryer,City view,Landmark view,Pool view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Corniche El Nil, Cairo 11511 Egypt","On the historic Semiramis hotel site, guests can enjoy modern luxury by the river Nile. Semiramis InterContinental Cairo is 23 KM from Cairo International airport with a premium location in the heart of the city center next to the Egyptian Museum and Khan el Khalili. The Hotel features a 26 sq m2 rooftop pool, fine dining with exquisite cuisine, conference facilities, a state of the art spa, a shopping arcade, and the Nile Terrace offering stunning views of the sunset over the Nile."
Royal Maxim Palace Kempinski Cairo,4.5,"EGP 5,371",",Valet parking,Free High Speed Internet (WiFi),Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Entertainment staff,Evening entertainment,Kids stay free,Paid private parking on-site,Wifi,Hot bath,Pool / beach towels,Infinity pool,Adult pool,Indoor pool,Outdoor pool,Heated pool,Shallow end in pool,Fitness / spa changing rooms,Fitness classes,Personal trainer,Sauna,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary welcome drink,Outdoor dining area,Poolside bar,Babysitting,Children's playground,Children's television networks,Indoor play area for children,Children Activities (Kid / Family Friendly),Kids club,Kids pool,Highchairs available,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Car hire,Taxi service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Couples massage,Facial treatments,Foot massage,Hammam,Hand massage,Head massage,Light therapy,Manicure,Massage,Neck massage,Pedicure,Salon,Steam room,Waxing services,24-hour security,BBQ facilities,Baggage storage,Concierge,Currency exchange,Executive lounge access,Gift shop,Newspaper,Sun umbrellas,ATM on site,Butler service,Doorperson,First aid kit,Umbrella,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Allergy-free room,Blackout curtains,Air conditioning,Desk,Fireplace,Coffee / tea maker,Cable / satellite TV,Bidet,Bathrobes,Housekeeping,Interconnected rooms available,Private balcony,Room service,Safe,Telephone,VIP room facilities,Wardrobe / wardrobe,Bottled water,Clothes rack,Iron,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Minibar,Electric kettle,Flatscreen TV,Radio,Bath / shower,Hair dryer,City view,Pool view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","First Settlement, Cairo 11511 Egypt","Let us welcome you to Royal Maxim Palace Kempinski, a haven of tranquillity in the heart of New Cairo. Offering a range of palatial services, the 5 star hotel features the finest facilities coupled with the highest levels of service. The hotel’s optimum location on the city’s ring road and its close proximity to Cairo International Airport make it the perfect starting point from which to explore Cairo’s treasures. With a distinctive architecture standing proudly against the New Cairo skyline, each of the 245 rooms and suites present comfortable and elegant fittings and furnishings. Enhance your stay with a visit to one of our eight exceptional restaurants & bars, or treat yourself to a rejuvenating treatment at our world-class Resense Spa. The unique architecture of New Cairo’s palatial landmark extends to our dedicated banquet floor, which includes 11 customisable meeting rooms and the largest ballroom in Egypt, Excelsior Ballroom."
Novotel Cairo Airport,4.0,"EGP 2,969",",Valet parking,Free High Speed Internet (WiFi),Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Kids stay free,Kids pool,Free airport transportation,Wifi,Pool / beach towels,Adult pool,Outdoor pool,Fitness / spa changing rooms,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Poolside bar,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Car hire,Taxi service,Conference facilities,Banquet room,Meeting rooms,Spa,Salon,24-hour security,Baggage storage,Currency exchange,Newspaper,Shops,ATM on site,Doorperson,24-hour check-in,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Shoeshine,Blackout curtains,Air conditioning,Housekeeping,Interconnected rooms available,Coffee / tea maker,Flatscreen TV,Sofa bed,Bath / shower,Room service,Safe,Sofa,Telephone,VIP room facilities,Wardrobe / wardrobe,Bottled water,Clothes rack,Laptop safe,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Minibar,Electric kettle,Complimentary toiletries,Hair dryer,Pool view,Non-smoking rooms,Suites,Smoking rooms available",Cairo 11776 Egypt,"Touch down in 4-star comfort at Novotel Cairo Airport hotel, a 5-minute ride from the terminals on the free 24-hour shuttle. Relax under the palms in the courtyard, or re-energise with a dip in the pool. All-day dining means you won't fly hungry. Your modern soundproofed room lets you stretch out and enjoy a restful night at Novotel."
